path,meta_path,label,signer_id,recording_session,source_video,device_model,source,feature_version,feature_version_source,content_sha256,pose_presence_ratio,hand_presence_ratio,split
external_datasets\fsl_features\AUNTIE\fsl105_10_w31.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w31.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,ea04d5e4ad16585d2c15a22224334249b4ce3d2efb15c90c2e81e233a73d35db,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w32.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w32.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,5543df52563761e8bcd49986eadc1cfa6464be68475c7c6f5da1b1babe78575c,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w33.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w33.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,e342d5e05a07e0e508a95c3a838967d2b34c1b379bd7830d012b782147f4a13e,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w34.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w34.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,dddd8a2aa69adb96d6a6f91c25aa0b6d21e02dab9dc53f4cd19a47838d246c62,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w35.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w35.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,d5c02fa1f08d08fba3d911a0c6e979531d6a5db0df21cc6f83b56aaaaece37b1,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w36.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w36.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,7f65b91c767875263ed23fe07f0091e19d556bdbd5d5846655fb5030cc92affd,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w37.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w37.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,507762ba47f685ec8842dc7f8e5314ac900f63f9713d9bd75719eacb417b7f06,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w38.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w38.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,527c99fef43bc21521234019fe21311084b2485bb761c229ac94963dbfcc0dda,1.0,0.8,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w25.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w25.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,f79e24aed52274291e27c751e052e5ba728a64d47168693d7c74b8d232e07356,1.0,0.8,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w26.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w26.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,6f132533e3ab6b769f1bce07467decd7d757b9a5f2c44d6a7e914276f88d8204,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w27.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w27.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,fb1c427e69d656cd2485ad8ba2eaa4d3edf06f8025361797abf9c9f7f7970230,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w28.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w28.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,f1b28f4e6d92efae29f197a6bebac1cc0247f2175e55930b36a9e3e2f7c764f5,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w29.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w29.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,b9544f493fb0738424ec5c41879b91ab3c0c86a35fba4abb539b4028dea4de3e,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w30.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w30.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,97b03d0f5f21e8b490e0159d2e2d21e49cd188f33b31cfb57cb66905018f1050,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w31.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w31.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,4d1239db9c633a50abf9b08f1b5db4b7903b3fdf89d561bd73a972741b7dd3ec,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w32.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w32.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,0803bcc8164c852e93192125f6c8b1cfd095a9fe30bdbd9ccf58cfe69005067e,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w33.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w33.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,91f2b31bc64e162d0486c48bcbda97346709000ab6839480e965329ce85d9955,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w34.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w34.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,50d61fd5e02765359bf346d73fca9ca678b6a7d86bf1d3b11a73fb454a638050,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w35.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w35.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,c07cb8d29e915287dd62d03ad26192c770139215776b3f5f8cd0dc1a7e3473d7,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_12_w36.npy,external_datasets\fsl_features\AUNTIE\fsl105_12_w36.meta.json,AUNTIE,fsl105_12,clips/59/12.MOV,clips/59/12.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,bb2942449f516505b04002d66ed1342b2d3b034e07aee7871e7bd9c4b45febb3,1.0,0.8,train
external_datasets\fsl_features\AUNTIE\fsl105_14_w19.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w19.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,c1098ecd488dd657130663e558c924e4684bb480990bdf006d72c5adb9767d40,1.0,0.75,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w20.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w20.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,46683587896f100a51c1e7eecbf23411e5e003967d9d04dbd7f533c7cc0c7f22,1.0,0.9,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w21.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w21.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,e8aafb3acf8652160cb0bea55b981fa72abdc24234c1db1d31f8496a4b0509ac,1.0,1.0,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w22.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w22.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,e5338c307f80d7b37cb3bceb1acb668d4bd4df1c6bb549d5f883072617e648df,1.0,1.0,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w23.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w23.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,5a6f1afc3edf737c02ef48e406fd1c5d4681cd3e31f774e72f5d80d50b2a874d,1.0,1.0,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w24.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w24.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,e531a74f4cdbca379b19c9f4975b389c0930bb0255d5e3073d57cb781c8cf1aa,1.0,1.0,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w25.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w25.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,13559c6f865f36eef2fb782c3b3a8c0408690100109b2ffa4a74b05e37afa8ad,1.0,1.0,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w26.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w26.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,30fe26056295cbf68c3f7889113d2ab71fd0bf645b6d055776ccfb7db7813244,1.0,1.0,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w27.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w27.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,2b281f13556db4ef9bf8b5fcbabe9736822bca4372d6023704f2475ed4b86d4a,1.0,1.0,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w28.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w28.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,080bf8466403eb5c2c94955b63da8828a4ad8ca4dd76565d66defa74f1a971e9,1.0,1.0,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w29.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w29.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,51f55b8db0914933306b2d178f957f8999531f5c30ab35dd635362e08a55d64c,1.0,0.9,val
external_datasets\fsl_features\AUNTIE\fsl105_14_w30.npy,external_datasets\fsl_features\AUNTIE\fsl105_14_w30.meta.json,AUNTIE,fsl105_14,clips/59/14.MOV,clips/59/14.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,d2316274c8fbd6a6e1d44c982e30bad01e62d1240116001682acbc4e5d2ba1b7,1.0,0.7,val
external_datasets\fsl_features\AUNTIE\fsl105_15_w15.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w15.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,1b39256372c0bc5b77509efcb5ecdbe301af0896f5a24b8710200242e28a640f,1.0,0.7,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w16.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w16.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,71ef4cada74f27b8e0a90dc2449b46e3d7ad37158f4593b776215752bbb2df29,1.0,0.95,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w17.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w17.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,dc04823521757b17806d560ba1cc5f4bb280ec91c6711eec3930255c72177764,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w18.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w18.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,13884480eb4bb700099139214422a5ada470a31078014c6dbeb5fc03bd8a8dd9,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w19.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w19.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,78581e1ac0d21eedf8c21c0752aee1fb17dd43ddf37b9aa09a353eab0d1363c0,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w20.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w20.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,1d0a3817ca1d8591a1429c34760a89f98335222b91d894e8dcf8e428f6fc9bad,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w21.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w21.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,226bf06c1e69a837aaa4e045b8aa62f85ff87247e46d37dbe0b758369137530c,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w22.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w22.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,7c644453d9b1a6dfae62b5866e1285d87c2527c73a16a5e29360d03b4446240f,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w23.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w23.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,5d0eab46ab0cefa208cea63b317007d8ed1361f4ea39e4b04f57537b166774d1,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w24.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w24.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,6418c06451c600de007fc17388807532b486029b489056680dcd7ac47020fcf9,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w25.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w25.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,feeb337a6bb823a1e1944229f98bff14f543592e84db3c229027a87bf9ad0313,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w26.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w26.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,33ddf8cf95e474d0c245c26eb26d1bd6eba07d4ef8c87177937d49acc6ba1906,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w27.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w27.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,f9abd65d4c31a4730ebe2b950716ca4bf04ed45c36663611857a8f6e361d7427,1.0,0.95,train
external_datasets\fsl_features\AUNTIE\fsl105_15_w28.npy,external_datasets\fsl_features\AUNTIE\fsl105_15_w28.meta.json,AUNTIE,fsl105_15,clips/59/15.MOV,clips/59/15.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,2c3f88588f25163dd1d17f514e2cbfcdf80d4d2d6b9d732208f6319902e0a2eb,1.0,0.8,train
