video_path,label,total_frames,left_present_frames,right_present_frames,both_present_frames,left_presence_ratio,right_presence_ratio,both_presence_ratio,left_motion_total,right_motion_total,left_motion_mean,right_motion_mean,dominant_hand,non_dominant_presence_ratio,non_dominant_motion_ratio,classification
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\12.MOV,WEDNESDAY,244,0,107,0,0.0,0.438525,0.0,0.0,0.794596,0.0,0.007568,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\13.MOV,UNDERSTAND,244,0,105,0,0.0,0.430328,0.0,0.0,0.802421,0.0,0.007716,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\14.MOV,HARD OF HEARING,244,0,101,0,0.0,0.413934,0.0,0.0,0.758492,0.0,0.007662,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\15.MOV,NOVEMBER,244,0,115,0,0.0,0.471311,0.0,0.0,0.912154,0.0,0.008072,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\16.MOV,BLIND,244,0,124,0,0.0,0.508197,0.0,0.0,0.872971,0.0,0.007156,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\17.MOV,COLD,244,0,125,0,0.0,0.512295,0.0,0.0,0.916033,0.0,0.007447,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\18.MOV,GREEN,244,0,113,0,0.0,0.463115,0.0,0.0,0.896325,0.0,0.008075,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\19.MOV,IM FINE,244,0,107,0,0.0,0.438525,0.0,0.0,0.645664,0.0,0.00633,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\2.MOV,JUNE,244,0,108,0,0.0,0.442623,0.0,0.0,0.868097,0.0,0.00819,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\20.MOV,SEVEN,244,0,133,0,0.0,0.545082,0.0,0.0,1.206582,0.0,0.009211,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\3.MOV,FATHER,244,0,120,0,0.0,0.491803,0.0,0.0,0.921742,0.0,0.007746,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\4.MOV,MOTHER,244,0,122,0,0.0,0.5,0.0,0.0,0.915542,0.0,0.007566,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\5.MOV,UNDERSTAND,244,0,95,0,0.0,0.389344,0.0,0.0,1.059309,0.0,0.011269,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\6.MOV,SUGAR,244,0,95,0,0.0,0.389344,0.0,0.0,1.0968,0.0,0.011794,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\7.MOV,SUNDAY,244,0,93,0,0.0,0.381148,0.0,0.0,1.136851,0.0,0.012357,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\8.MOV,MONDAY,244,0,87,0,0.0,0.356557,0.0,0.0,1.000566,0.0,0.011634,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\9.MOV,COUSIN,244,0,86,0,0.0,0.352459,0.0,0.0,0.86829,0.0,0.010215,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\0.MOV,DEAF BLIND,245,0,127,0,0.0,0.518367,0.0,0.0,0.979774,0.0,0.007776,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\1.MOV,FEBRUARY,245,0,104,0,0.0,0.42449,0.0,0.0,0.911955,0.0,0.008854,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\10.MOV,YESTERDAY,245,0,80,0,0.0,0.326531,0.0,0.0,0.803562,0.0,0.010302,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\11.MOV,DON’T KNOW,245,0,75,0,0.0,0.306122,0.0,0.0,0.76297,0.0,0.010597,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\12.MOV,WEDNESDAY,244,0,76,0,0.0,0.311475,0.0,0.0,0.916334,0.0,0.012383,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\13.MOV,UNDERSTAND,244,0,74,0,0.0,0.303279,0.0,0.0,0.798373,0.0,0.011089,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\14.MOV,HARD OF HEARING,244,0,85,0,0.0,0.348361,0.0,0.0,0.828743,0.0,0.010359,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\15.MOV,NOVEMBER,244,0,83,0,0.0,0.340164,0.0,0.0,0.969923,0.0,0.011828,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\16.MOV,BLIND,244,0,91,0,0.0,0.372951,0.0,0.0,0.833091,0.0,0.009257,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\17.MOV,COLD,244,0,79,0,0.0,0.32377,0.0,0.0,0.876994,0.0,0.01139,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\18.MOV,GREEN,244,0,78,0,0.0,0.319672,0.0,0.0,0.964682,0.0,0.012528,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\19.MOV,IM FINE,244,0,90,0,0.0,0.368852,0.0,0.0,1.065809,0.0,0.011975,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\2.MOV,JUNE,244,0,89,0,0.0,0.364754,0.0,0.0,0.932972,0.0,0.010724,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\3.MOV,FATHER,244,0,87,0,0.0,0.356557,0.0,0.0,0.906616,0.0,0.010666,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\4.MOV,MOTHER,244,2,103,1,0.008197,0.422131,0.004098,0.03793,0.886193,0.03793,0.008774,RIGHT,0.008197,0.042801,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\5.MOV,UNDERSTAND,245,0,81,0,0.0,0.330612,0.0,0.0,1.226842,0.0,0.015336,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\6.MOV,SUGAR,244,0,58,0,0.0,0.237705,0.0,0.0,1.172371,0.0,0.020568,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\7.MOV,SUNDAY,244,0,68,0,0.0,0.278689,0.0,0.0,1.122004,0.0,0.016746,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\8.MOV,MONDAY,244,0,74,0,0.0,0.303279,0.0,0.0,1.235141,0.0,0.01692,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\10\9.MOV,COUSIN,244,0,73,0,0.0,0.29918,0.0,0.0,1.041697,0.0,0.014672,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\0.MOV,DEAF BLIND,244,110,116,109,0.45082,0.47541,0.446721,0.596885,1.491645,0.005476,0.013085,RIGHT,0.45082,0.400152,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\1.MOV,FEBRUARY,244,97,106,95,0.397541,0.434426,0.389344,0.612614,1.341934,0.006449,0.013028,RIGHT,0.397541,0.456516,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\10.MOV,YESTERDAY,244,82,84,81,0.336066,0.344262,0.331967,0.428932,1.086917,0.005295,0.013095,RIGHT,0.336066,0.394632,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\11.MOV,DON’T KNOW,244,81,81,79,0.331967,0.331967,0.32377,0.418526,0.951501,0.005232,0.012044,RIGHT,0.331967,0.439859,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\12.MOV,WEDNESDAY,244,78,80,77,0.319672,0.327869,0.315574,0.44527,0.96027,0.005783,0.012471,RIGHT,0.319672,0.463693,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\13.MOV,UNDERSTAND,244,82,83,81,0.336066,0.340164,0.331967,0.480383,1.123373,0.005931,0.0137,RIGHT,0.336066,0.427626,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\14.MOV,HARD OF HEARING,244,82,82,80,0.336066,0.336066,0.327869,0.491392,1.131281,0.006067,0.013966,RIGHT,0.336066,0.434368,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\15.MOV,NOVEMBER,244,89,93,88,0.364754,0.381148,0.360656,0.73635,1.370026,0.008368,0.015055,RIGHT,0.364754,0.537472,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\16.MOV,BLIND,244,90,108,90,0.368852,0.442623,0.368852,0.77747,1.600032,0.008736,0.014954,RIGHT,0.368852,0.485909,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\17.MOV,COLD,244,111,144,111,0.454918,0.590164,0.454918,0.994869,2.531706,0.009127,0.017829,RIGHT,0.454918,0.392964,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\18.MOV,GREEN,244,93,103,92,0.381148,0.422131,0.377049,0.744096,1.563457,0.008088,0.01548,RIGHT,0.381148,0.47593,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\19.MOV,IM FINE,244,109,112,106,0.446721,0.459016,0.434426,0.762624,1.73998,0.007061,0.015818,RIGHT,0.446721,0.438295,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\2.MOV,JUNE,244,89,95,87,0.364754,0.389344,0.356557,0.693089,1.246233,0.007876,0.013546,RIGHT,0.364754,0.556147,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\3.MOV,FATHER,244,96,103,94,0.393443,0.422131,0.385246,0.610541,1.07932,0.006427,0.010902,RIGHT,0.393443,0.565672,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\4.MOV,MOTHER,244,100,102,98,0.409836,0.418033,0.401639,0.643066,1.277116,0.006496,0.0129,RIGHT,0.409836,0.50353,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\5.MOV,UNDERSTAND,244,104,100,96,0.42623,0.409836,0.393443,0.785313,1.505289,0.007624,0.016014,RIGHT,0.42623,0.521702,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\6.MOV,SUGAR,244,101,100,95,0.413934,0.409836,0.389344,0.807288,1.389493,0.008154,0.014782,RIGHT,0.413934,0.580995,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\7.MOV,SUNDAY,244,100,99,97,0.409836,0.405738,0.397541,0.771005,1.700537,0.007788,0.017714,RIGHT,0.409836,0.453389,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\8.MOV,MONDAY,244,103,101,96,0.422131,0.413934,0.393443,0.780662,1.440244,0.007654,0.015322,RIGHT,0.422131,0.542035,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\100\9.MOV,COUSIN,244,108,103,103,0.442623,0.422131,0.422131,0.832766,1.542262,0.007783,0.015578,RIGHT,0.442623,0.539964,TWO_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\101\0.MOV,DEAF BLIND,243,0,111,0,0.0,0.45679,0.0,0.0,1.148369,0.0,0.010633,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\101\1.MOV,FEBRUARY,243,0,103,0,0.0,0.423868,0.0,0.0,1.13335,0.0,0.011221,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\101\10.MOV,YESTERDAY,243,0,73,0,0.0,0.300412,0.0,0.0,1.070908,0.0,0.015083,RIGHT,0.0,0.0,AMBIGUOUS
