label,video_count,final_classification,confidence_note,one_handed_votes,two_handed_votes,ambiguous_votes,avg_left_presence,avg_right_presence,avg_both_presence,avg_left_motion,avg_right_motion
SIX,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
SLOW,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
SON,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
SPAGHETTI,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
SUGAR,105,AMBIGUOUS,manual_review:ambiguous_majority:96/105,1,8,96,0.127149,0.330273,0.120073,0.005176,0.013736
SUNDAY,105,AMBIGUOUS,manual_review:ambiguous_majority:94/105,1,10,94,0.125685,0.322225,0.120093,0.004175,0.013614
TEA,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
TEN,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
THANK YOU,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
THREE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
THURSDAY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
TODAY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
TOMORROW,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
TUESDAY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
TWO,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
UNCLE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
UNDERSTAND,210,AMBIGUOUS,manual_review:ambiguous_majority:192/210,3,15,192,0.1202,0.326334,0.115116,0.004555,0.012428
VIOLET,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
WEDNESDAY,105,AMBIGUOUS,manual_review:ambiguous_majority:101/105,0,4,101,0.11463,0.313646,0.108959,0.003713,0.011716
WEELCHAIR PERSON,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
WHITE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
WINE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
WOMAN,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
WRONG,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
YELLOW,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
YES,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
YESTERDAY,105,AMBIGUOUS,manual_review:ambiguous_majority:92/105,2,11,92,0.122754,0.326363,0.117714,0.004119,0.011766
YOURE WELCOME,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
