CANONICAL_ID,FSL_SOURCE_LABEL,ENGLISH_DISPLAY,FILIPINO_DISPLAY,DATASET_SOURCES,LINGUISTIC_REVIEW_STATUS
COLD,COLD,Cold,Malamig,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
CORRECT,CORRECT,Correct,Tama,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
COUSIN,COUSIN,Cousin,Pinsan,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
CRAB,CRAB,Crab,Alimango,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
DARK,DARK,Dark,Madilim,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
DAUGHTER,DAUGHTER,Daughter,Anak na babae,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
DEAF,DEAF,Deaf,Bingi,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
DEAF_BLIND,DEAF BLIND,Deaf Blind,Bingi at bulag,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
DECEMBER,DECEMBER,December,Disyembre,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
DISCOUNT,,Discount,Diskuwento,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
DONT_KNOW,DON’T KNOW,Don't know,Hindi ko alam,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
DONT_UNDERSTAND,DON’T UNDERSTAND,Don't understand,Hindi ko nauunawaan,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
EGG,EGG,Egg,Itlog,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
EIGHT,EIGHT,Eight,Walo,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
FAST,FAST,Fast,Mabilis,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
FATHER,FATHER,Father,Ama,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
FEBRUARY,FEBRUARY,February,Pebrero,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
FISH,FISH,Fish,Isda,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
FIVE,FIVE,Five,Lima,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
FOUR,FOUR,Four,Apat,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
FRIDAY,FRIDAY,Friday,Biyernes,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
GIRL,GIRL,Girl,Batang babae,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
GOOD_AFTERNOON,GOOD AFTERNOON,Good Afternoon,Magandang hapon,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
GOOD_EVENING,GOOD EVENING,Good Evening,Magandang gabi,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
GOOD_MORNING,GOOD MORNING,Good Morning,Magandang umaga,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
GRANDFATHER,GRANDFATHER,Grandfather,Lolo,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
GRANDMOTHER,GRANDMOTHER,Grandmother,Lola,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
GRAY,GRAY,Gray,Abo,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
GREEN,GREEN,Green,Berde,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
HARD_OF_HEARING,HARD OF HEARING,Hard Of Hearing,Mahina ang pandinig,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
HELLO,HELLO,Hello,Kumusta,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
HOT,HOT,Hot,Mainit,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
HOW_ARE_YOU,HOW ARE YOU,How Are You,Kumusta ka?,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
HOW_MANY,,How Many,Ilan,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
HOW_MUCH,,How Much,Magkano,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
IM_FINE,IM FINE,I'm fine,Mabuti ako,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
JANUARY,JANUARY,January,Enero,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
JUICE,JUICE,Juice,Katas,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
JULY,JULY,July,Hulyo,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
JUNE,JUNE,June,Hunyo,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
KNOW,KNOW,Know,Alam,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
LIGHT,LIGHT,Light,Maliwanag,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
LONGANISA,LONGANISA,Longanisa,Longganisa,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
MAN,MAN,Man,Lalaki,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
MARCH,MARCH,March,Marso,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
MARRIED,MARRIED,Married,Kasal,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
MAY,MAY,May,Mayo,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
MEAT,MEAT,Meat,Karne,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
MILK,MILK,Milk,Gatas,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
MONDAY,MONDAY,Monday,Lunes,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
MOTHER,MOTHER,Mother,Nanay,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
NICE_TO_MEET_YOU,NICE TO MEET YOU,Nice To Meet You,Ikinagagalak kitang makilala,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
NINE,NINE,Nine,Siyam,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
NO,NO,No,Hindi,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
NOVEMBER,NOVEMBER,November,Nobyembre,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
NO_SUGAR,NO SUGAR,No Sugar,Walang asukal,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
OCTOBER,OCTOBER,October,Oktubre,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
ONE,ONE,One,Isa,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
ORANGE,ORANGE,Orange,Kahel,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
PARENTS,PARENTS,Parents,Mga magulang,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
PINK,PINK,Pink,Rosas,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
PLEASE,,Please,Pakiusap,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
PROBLEM,,Problem,Problema,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
RECEIPT,,Receipt,Resibo,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
RED,RED,Red,Pula,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
RICE,RICE,Rice,Kanin,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SATURDAY,SATURDAY,Saturday,Sabado,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SEE_YOU_TOMORROW,SEE YOU TOMORROW,See You Tomorrow,Magkita tayo bukas,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SEPTEMBER,SEPTEMBER,September,Setyembre,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SEVEN,SEVEN,Seven,Pito,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SHRIMP,SHRIMP,Shrimp,Hipon,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SIX,SIX,Six,Anim,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SLOW,SLOW,Slow,Mabagal,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SON,SON,Son,Anak na lalaki,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SPAGHETTI,SPAGHETTI,Spaghetti,Ispageti,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SUGAR,SUGAR,Sugar,Asukal,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
SUNDAY,SUNDAY,Sunday,Linggo,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
TEA,TEA,Tea,Tsaa,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
TEN,TEN,Ten,Sampu,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
THANK_YOU,THANK YOU,Thank You,Salamat,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
THREE,THREE,Three,Tatlo,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
THURSDAY,THURSDAY,Thursday,Huwebes,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
TODAY,TODAY,Today,Ngayon,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
TOMORROW,TOMORROW,Tomorrow,Bukas,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
TUESDAY,TUESDAY,Tuesday,Martes,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
TWO,TWO,Two,Dalawa,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
UNCLE,UNCLE,Uncle,Tiyo,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
UNDERSTAND,UNDERSTAND,Understand,Nauunawaan,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
VIOLET,VIOLET,Violet,Lila,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
WAIT,,Wait,Maghintay,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
WEDNESDAY,WEDNESDAY,Wednesday,Miyerkules,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
WEELCHAIR_PERSON,WEELCHAIR PERSON,Wheelchair person,Taong gumagamit ng wheelchair,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
WELCOME,,Welcome,Maligayang pagdating,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
WHITE,WHITE,White,Puti,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
WINE,WINE,Wine,Alak,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
WOMAN,WOMAN,Woman,Babae,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
WRONG,WRONG,Wrong,Mali,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
YELLOW,YELLOW,Yellow,Dilaw,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
YES,YES,Yes,Oo,FSL-105;Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
YESTERDAY,YESTERDAY,Yesterday,Kahapon,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
YOURE_WELCOME,YOURE WELCOME,You're welcome,Walang anuman,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
