class_label,strength,relative_path,record_id,raw_sha256_prefix,motion_start_frame,motion_middle_frame,motion_end_frame,complete_trajectory_frames,pose_present_frames,left_hand_present_frames,right_hand_present_frames,feature_sha256,contact_sheet_sha256
HOW_MUCH,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HOW_MUCH/HOW_MUCH_18.mp4,6d375f0943e30a76,72c662df0c51120c,11,24,37,27,75,60,0,9ef39b868df62674512f184791309651f3a76071ae40506bba5ffba6b4809fbf,7ae44e2d53763f90ae68e58596b63260eaff1f28c232bef35bcc494b2b662576
HOW_MUCH,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HOW_MUCH/HOW_MUCH_33.mp4,0cf1ae5e52bd96af,1f184489f48c4d61,6,40,74,69,75,75,0,c6ad6afd8ea54fcb08e4b7848f4e917f4ccf0e7feb2f0b318f0d93fec56bf60e,f1cca3b2efd2bdfb3e10e0479c9b7897402e8fc92a60032bacb8a7f0c3ec2146
CASH,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/CASH/CASH_2.mp4,2617b7a94b78d83a,b816a6796b367159,16,32,49,34,75,54,59,216fa00b1cb035e9bf2d033f443c6e23a699dede30a3319b7e86c7fb089ee931,591dd4d5b5129551c9c763e4356167b6c18ed3c6e6ec689c926e60b98fc3e854
CASH,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/CASH/CASH_37.mp4,89b66e69754242b7,ae958bc152eef4cf,0,37,74,75,75,75,75,e9daae6aa8b610a4874c05bebdfe695229ad3f60d2591b3bc97f42b9e5e34e61,230d5032f90b533d05a6b85e544e97cb76be52280dd055b53c5ccee4cc03a585
CARD,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/CARD/CARD_26.mp4,dc331575ed1eac02,0b808f1f9882d7b5,12,33,55,44,75,43,11,f13549e2170a6de11e3b967127bedd8517d55a6efb97b14b92dde5eeee838c53,ae5266e3b999ece176fe9f3021590c67d98b9d1f0eb0e85c30ab9e8970b2c0ac
CARD,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/CARD/CARD_44.mp4,2bb2a0f8c04697ce,0e8e7883772229d4,0,37,74,75,75,71,29,dc31b9b5059cb2b60259c6108668e2d4d42837a51c20afaa2906aa48dd58f94e,f6cada1f54adc78f61ef7ec29e8413d1a8996c981da1cf8a79f043ae87a6c743
RECEIPT,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/RECEIPT/RECEIPT_6.mp4,5315bd4b9c52d1e8,e2ff340a9dcdee6c,2,5,8,7,75,75,75,6b8650cc132bba4d003d8ab8e837303f65d7469aee8ae19add09f3b22086f4e6,feb504440abd144e6683bc48adc77b233a7d3b366716128d1cc696c7ef155ca5
RECEIPT,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/RECEIPT/RECEIPT_35.mp4,19c8de5bdb65163d,92fc610b73abbeb5,0,37,74,75,75,75,75,d995a4f04bc5ea9a017add07da9f1ad10da7b094d7d146ecc1ec6cc95f8d08f6,754d0613d3408b91007aec552450d86b5c6f14a48a54467f2b15a0cc4ffc2119
WAIT,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/WAIT/WAIT_21.mp4,14c79b9822f76f9b,dbe34ad0609e1246,0,2,4,5,75,75,0,3406abb5d8af30567cb2e5fe6252ba0073ab05e138a86da59e6a006e3696b9ca,ef623105fc02471a102aaa1f638d9cd0d76f2a865d2ef82bc7946a97020946d9
WAIT,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/WAIT/WAIT_31.mp4,13484a9499630d04,433d9a7cc3ed87db,0,36,73,74,75,74,0,26a077e7c34b0630e9e2a61bb4e3d465fd581352f869a51df0cceebd4a829b89,a27867b52f952a507faab5dcb0f8e24df2be9c35f5e1536b99c6cd8f7d136158
HOW_MANY,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HOW_MANY/HOW_MANY_16.mp4,27375d33a40e6e5a,23faa9ce0ddb0815,10,24,39,30,75,57,2,27bd767572ee0fa8ddcc253a9212c15eda12bde7ba0ce6574573122eba1b1f53,70ce4ce2135731226bcdebdf0fbdf72d6ba4be4fda03229b226c9888dcaa0afe
HOW_MANY,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HOW_MANY/HOW_MANY_9.mp4,bb5f747cd4342837,b264ca74ecfbf71e,5,39,74,70,75,67,0,4677fcff1c900bf1bf386f238d952ebdef74e5b668f65771c8cbd3b67aca5adf,b4fcbe7c6a0ada34b62aea0a216485fb7be02ec636aa172bf39f8ec23ba50d2b
AGAIN,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/AGAIN/AGAIN_42.mp4,5121b84811fdee21,1a8bc851c4f5e90f,21,38,55,35,75,22,35,2531a0168ce25daf6ef53a5ac9913c332399d16cb13ef393573dace75bcfd677,bac458bf8c249546524639bd98d5d43b7de56d6308fdcab86b1bc4886924e9a6
AGAIN,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/AGAIN/AGAIN_43.mp4,88b2b1dba4d5c5e6,d68a05d639d833bc,0,37,74,75,75,74,63,74ce01651d62d649bd0772e038af8a10fc828f5e47959c4f553d221a7f7de121,c89bef6c248e792a97f5c74fadc328c2b1abbd78b3722b7867a9449c7f9a5719
PROBLEM,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/PROBLEM/PROBLEM_10.mp4,6f119b6d319a1817,18de1919d248c5fd,28,46,64,37,75,45,40,bac977551239fea6aaf93dc67a353ce8f7f3e725e68bfd9948ff50299d485a2c,65ff0af6e28ca865153770e74b17e3250ef0fd116363aa8d2f8973607142092a
PROBLEM,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/PROBLEM/PROBLEM_9.mp4,ea34980c52578e54,4106176f835e98c9,0,37,74,75,75,75,75,9d4ca61375cb5f7ccd274517a6a73a6c9427ae4b328b40b175e9b7544ebc91e3,4dc04ad8860fb7fbac140a9115f969d5adfff5cf5ec62e796413d933a62efd86
COIN,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/COIN/COIN_35.mp4,8fe1a266c7d6ee64,99f6045b80dbd3d1,19,40,61,43,75,38,6,e737fc365d9d2c81e63463a01e364a66ed54734342f680272f8ace48062a069e,42c96416266e9868565214efb12e689c539610c28e70d17684756988cf1c08af
COIN,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/COIN/COIN_8.mp4,0aa30d284cb5bcf9,cd385b13eb73050c,0,37,74,75,75,75,0,2fd1e5fd0fca5bfa40e61de6f723834badacbdf64abf23160db89aad831ba175,dd4c82ef71c8bbdbfb951bf2aa6fffbb38d6517fb326ef0fb1ad36c7ac07a4dc
DISCOUNT,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/DISCOUNT/DISCOUNT_20.mp4,e1620cd422358114,44062bfbc9b4d976,10,28,46,37,75,61,62,68d4b52cc10f0bd17c9f4e74786f9be09a21d71d6126cdf3f364c1e62b8b958e,36b36e6e360c28dcf9684573c0040e5bd5e75d397593d931bc97cf9c132e9c09
DISCOUNT,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/DISCOUNT/DISCOUNT_8.mp4,178d0f6b56203600,4efae210da1e07c7,0,37,74,75,75,75,68,e1ff4b5843d83aa37a7590e3dee9225709c1b3aa8988db1ca9fca5147efe8dd2,222917f8c8562413d6883a6cd18c07df029cb1cba19f8335755983376689309b
